gastos idade tempo expostos sinistros
207506.21 4 9 1538 2059
128092.19 5 9 1630 2009
123077.03 6 9 1431 1904
107644.72 7 9 1405 1921
80117.83 8 9 1340 1522
79673.23 9 9 1325 1656
70176 10 9 1246 1610
62854.37 11 9 1241 1297
84211.3 12 9 1163 1335
65145.23 13 9 1189 1402
77580.82 14 9 1048 1080
96058.15 15 9 1081 1374
92535.14 16 9 1057 1188
119658 17 9 1136 1820
123880.66 18 9 1039 1729
138148.4 19 9 1053 1700
161462.89 20 9 1198 1967
199575.97 21 9 1303 2286
225627.2 22 9 1355 2249
195702.94 23 9 1349 2301
173686.16 24 9 1370 2450
334095.98 25 9 1326 2487
292695.79 26 9 1470 2929
343567.86 27 9 1769 3604
496282.33 28 9 2014 4163
474519.22 29 9 2109 4573
502710.98 30 9 2234 4550
669424.83 31 9 2286 5452
639619.04 32 9 2262 5962
621536.76 33 9 2295 5058
600162.72 34 9 2404 5385
727911.51 35 9 2415 6041
742983.66 36 9 2089 5624
519140.43 37 9 1993 4546
432431.27 38 9 1761 3915
618624.72 39 9 1629 4835
576930.12 40 9 1507 3511
279107.27 41 9 1352 3287
367497.81 42 9 1274 3541
558667.09 43 9 1136 3235
334127.39 44 9 1105 3077
290833.98 45 9 1056 3106
204467.68 46 9 895 2176
537800.84 47 9 880 3270
398165.98 48 9 774 2335
295207.52 49 9 791 2412
252775.82 50 9 683 2122
281652.52 51 9 748 2419
183604.07 52 9 686 2257
276619.98 53 9 636 2059
333510.67 54 9 601 1941
175043.13 55 9 525 1667
363333.17 56 9 504 1925
160537.48 57 9 461 1606
386290.29 58 9 478 2040
214930.95 59 9 445 1704
287389.95 60 9 398 1597
147475.79 61 9 383 1487
233656.84 62 9 308 1301
172111.99 63 9 250 984
155670.91 64 9 244 923
251748.25 65 9 224 1105
295286.84 66 9 160 898
131227.54 67 9 126 553
124766.9 68 9 106 637
19200.51 69 9 97 229
46907.8 70 9 51 629
86794.34 71 9 55 923
151848.09 72 9 36 347
17010.88 73 9 31 79
43434.58 74 9 23 84
1769.36 75 9 13 33
6141.28 76 9 10 53
2297.19 77 9 9 37
4969.9 78 9 8 123
1152.6 79 9 8 30
3363.2 80 9 3 46
7676.15 81 9 7 37
2347.4 82 9 2 50
1361.78 83 9 3 23
263944.29 84 9 6 13
1615.44 85 9 5 37
137.61 86 9 7 13
0 87 9 3 0
1237.04 88 9 4 36
0 89 9 1 0
0 90 9 1 0
192.31 91 9 2 20
112 92 9 1 1
15.52 93 9 1 2
32.04 94 9 1 4
0 95 9 0 0
0 96 9 1 0
0 97 9 0 0
0 98 9 0 0
0 99 9 0 0
0 100 9 0 0
0 101 9 0 0
0 102 9 0 0
0 103 9 0 0
0 104 9 0 0
0 105 9 1 0
